time_s,vehicles_in_network,mean_speed_km_h,total_waiting_time_s,total_time_loss_s,stopped_vehicles,reward,action_J1,action_J2,action_J3
2295.0,24,21.551268207828034,22.0,195.38751247908135,4,-13.24,1,0,0
2300.0,20,12.664476140791765,22.0,196.6710358825192,5,-14.44,0,1,0
2305.0,23,2.345916069454506,64.0,215.6784823274614,17,-39.88,0,0,1
2310.0,23,11.368605447576716,29.0,286.165204528248,5,-15.18,0,0,0
2315.0,19,21.133310190888167,21.0,263.8367874523726,5,-14.22,1,0,0
2320.0,24,21.35332062183755,17.0,239.87564551294705,3,-11.14,1,1,0
2325.0,21,22.355503479376704,8.0,176.50395281908663,7,-18.36,1,0,0
2330.0,24,10.974731953007876,24.0,178.15101078924343,7,-19.28,0,1,0
2335.0,21,15.098678094099627,44.0,201.18590830545713,9,-23.08,0,0,1
2340.0,15,5.818265053531635,29.0,212.97768789803987,6,-15.58,0,0,0
2345.0,24,23.90166773937889,9.0,279.86173223842036,4,-12.98,1,0,0
2350.0,22,20.39292121343663,9.0,250.6909045682753,5,-14.58,1,1,0
2355.0,22,24.01575930352086,15.0,166.9774625490461,3,-10.7,1,0,0
2360.0,19,12.677319007735694,13.0,180.66563080074582,5,-14.06,0,1,0
2365.0,22,5.438335709411461,56.0,210.06114972158167,17,-39.519999999999996,0,0,1
2370.0,21,11.53788825998504,41.0,256.15476211808675,4,-13.02,0,0,0
2375.0,18,21.115548067275515,27.0,272.039606113181,5,-14.139999999999999,1,0,0
2380.0,24,23.57832752282945,17.0,264.9386465173827,2,-9.14,1,1,0
2385.0,21,21.92734530212996,8.0,203.5000059430604,6,-16.36,1,0,0
2390.0,23,7.215774558333511,33.0,207.27420028334984,8,-21.26,0,1,0
2395.0,22,12.872470979347382,66.0,266.24063753865937,11,-27.72,0,0,1
2400.0,17,8.947862584970274,50.0,303.1138674355153,6,-16.4,0,0,0
2405.0,23,20.285874665028064,19.0,281.04943200753905,4,-12.98,1,0,0
2410.0,24,20.550042376290637,14.0,317.8100815101182,6,-17.08,1,1,0
2415.0,26,20.403022447866203,33.0,244.0863007532992,6,-17.86,1,0,0
2420.0,23,12.111758900045231,50.0,275.5809799671706,9,-23.6,0,1,0
2425.0,25,3.5846154569669597,72.0,300.75181627495294,19,-44.44,0,0,1
2430.0,24,12.537876138401012,47.0,340.2843164589781,6,-17.740000000000002,0,0,0
2435.0,20,20.68299556318268,22.0,337.5772766108345,4,-12.44,1,0,0
2440.0,25,25.5165610365983,15.0,286.3971869962297,2,-9.3,1,1,0
2445.0,23,20.289850437489953,9.0,239.41678719202687,7,-18.78,1,0,0
2450.0,25,9.151805568246564,36.0,264.83277890965974,9,-23.72,0,1,0
2455.0,23,12.081425303971907,75.0,292.19331760961563,12,-30.1,0,0,1
2460.0,18,8.75518249251978,44.0,319.31070980864564,6,-16.48,0,0,0
2465.0,24,20.94921986144762,17.0,302.66194702949247,4,-13.14,1,0,0
2470.0,22,21.21344982428474,12.0,286.01998179833464,4,-12.64,1,1,0
2475.0,25,21.29590366565235,20.0,221.01380043004212,4,-13.4,1,0,0
2480.0,23,15.464841648469235,21.0,245.27950047798217,6,-17.02,0,1,0
2485.0,23,2.569285865764729,67.0,241.65686871057167,18,-41.940000000000005,0,0,1
2490.0,24,12.590630075352262,43.0,324.91780769215956,7,-19.66,0,0,0
2495.0,20,20.825510573233746,26.0,322.40314483769737,4,-12.52,1,0,0
2500.0,25,23.938226065039846,19.0,276.6754259881731,3,-11.379999999999999,1,1,0
2505.0,23,21.422425222396456,9.0,226.1252345405468,7,-18.78,1,0,0
2510.0,24,7.412330878432277,37.0,213.0866565848535,9,-23.54,0,1,0
2515.0,23,12.568410423445329,69.0,274.1969772236052,11,-27.98,0,0,1
2520.0,18,8.283441063148652,40.0,312.5089294911728,7,-18.400000000000002,0,0,0
2525.0,25,23.081848522324677,12.0,328.0201228708617,5,-15.24,1,0,0
2530.0,22,19.223770015556685,12.0,250.10982545749272,6,-16.64,1,1,0
2535.0,24,23.983745005741913,22.0,196.12233017636444,3,-11.240000000000002,1,0,0
2540.0,20,13.376437003387451,27.0,200.31753014586548,7,-18.54,0,1,0
2545.0,22,4.553633305956123,53.0,214.25262399663214,17,-39.46,0,0,1
2550.0,21,12.050158985218006,42.0,256.347841099857,6,-17.04,0,0,0
2555.0,18,19.63762598561135,32.0,274.8463528142107,5,-14.24,1,0,0
2560.0,24,24.168286378773168,17.0,268.7804809692173,2,-9.14,1,1,0
2565.0,22,22.574236504398268,7.0,215.75262707944063,6,-16.54,1,0,0
2570.0,23,7.709314762121257,28.0,203.59071895556673,7,-19.16,0,1,0
2575.0,23,15.116633604733511,61.0,275.4038580831007,11,-27.82,0,0,1
2580.0,17,9.942190904512588,42.0,302.03137947855123,6,-16.240000000000002,0,0,0
2585.0,24,24.464690884881005,24.0,318.06274919333686,4,-13.280000000000001,1,0,0
2590.0,22,20.276130835401425,14.0,277.1988555419939,5,-14.68,1,1,0
2595.0,24,23.066040527023628,26.0,205.51495888413808,4,-13.32,1,0,0
2600.0,21,13.517207383745049,29.0,223.64043588793305,7,-18.78,0,1,0
2605.0,23,3.7298511884480843,56.0,242.29506912205522,17,-39.72,0,0,1
2610.0,23,13.926683899409891,45.0,300.8565305173779,6,-17.5,0,0,0
2615.0,18,18.71458604962998,26.0,263.3800617337998,5,-14.12,1,0,0
2620.0,25,25.319894657525513,17.0,291.0294506663521,2,-9.34,1,1,0
